iso,name
NI,ⵏⵉⴽⴰⵔⴰⴳⵡⴰ
NG,ⵏⵉⵊⵉⵔⵢⴰ
NU,ⵏⵉⵡⵉ
NE,ⵏⵏⵉⵊⵉⵔ
AT,ⵏⵏⵎⵙⴰ
NO,ⵏⵏⵔⵡⵉⵊ
NZ,ⵏⵢⵓⵣⵉⵍⴰⵏⴷⴰ
UA,ⵓⴽⵔⴰⵏⵢⴰ
UY,ⵓⵔⵓⴳⵡⴰⵢ
UG,ⵓⵖⴰⵏⴷⴰ
AU,ⵓⵙⵜⵔⴰⵍⵢⴰ
UZ,ⵓⵣⴱⴰⴽⵉⵙⵜⴰⵏ
RE,ⵔⵉⵢⵓⵏⵢⵓⵏ
RO,ⵔⵓⵎⴰⵏⵢⴰ
RU,ⵔⵓⵙⵢⴰ
RW,ⵔⵡⴰⵏⴷⴰ
GH,ⵖⴰⵏⴰ
GN,ⵖⵉⵏⵢⴰ
GW,"ⵖⵉⵏⵢⴰ ⴱⵉⵙⴰⵡ"
GQ,"ⵖⵉⵏⵢⴰ ⵏ ⵉⴽⵡⴰⴷⵓⵔ"
GD,ⵖⵔⵏⴰⵟⴰ
SV,ⵙⴰⵍⴼⴰⴷⵓⵔ
WS,ⵙⴰⵎⵡⴰ
AS,"ⵙⴰⵎⵡⴰ ⵜⴰⵎⵉⵔⵉⴽⴰⵏⵉⵜ"
PM,"ⵙⴰⵏⴱⵢⵉⵔ ⴷ ⵎⵉⴽⵍⵓⵏ"
VC,"ⵙⴰⵏⴼⴰⵏⵙⴰⵏ ⴷ ⴳⵔⵉⵏⴰⴷⵉⵏ"
KN,"ⵙⴰⵏⴽⵔⵉⵙ ⴷ ⵏⵉⴼⵉⵙ"
SM,ⵙⴰⵏⵎⴰⵔⵉⵏⵓ
SH,ⵙⴰⵏⵜⵉⵍⵉⵏ
LC,ⵙⴰⵏⵜⵍⵓⵙⵉ
ST,"ⵙⴰⵡⵟⵓⵎⵉ ⴷ ⴱⵔⴰⵏⵙⵉⴱ"
ES,ⵙⴱⴰⵏⵢⴰ
CS,"ⵙⵉⵔⴱⵢⴰ ⴷ ⵎⵓⵏⵜⵉⵏⵉⴳⵔⵓ"
SK,ⵙⵍⵓⴼⴰⴽⵢⴰ
SI,ⵙⵍⵓⴼⵉⵏⵢⴰ
SG,ⵙⵏⵖⴰⴼⵓⵔⴰ
SR,ⵙⵓⵔⵉⵏⴰⵎ
SY,ⵙⵓⵔⵢⴰ
LK,ⵙⵔⵉⵍⴰⵏⴽⴰ
SA,ⵙⵙⴰⵄⵓⴷⵉⵢⴰ
SN,ⵙⵙⵉⵏⵉⴳⴰⵍ
SL,ⵙⵙⵉⵔⴰⵍⵢⵓⵏ
SC,ⵙⵙⵉⵛⵉⵍ
SD,ⵙⵙⵓⴷⴰⵏ
SE,ⵙⵙⵡⵉⴷ
SZ,ⵙⵡⴰⵣⵉⵍⴰⵏⴷⴰ
CH,ⵙⵡⵉⵙⵔⴰ
SO,ⵚⵚⵓⵎⴰⵍ
CL,ⵛⵛⵉⵍⵉ
CN,ⵛⵛⵉⵏⵡⴰ
CD,"ⵜⴰⴳⴷⵓⴷⴰⵏⵜ ⵜⴰⴷⵉⵎⵓⵇⵔⴰⵜⵉⵜ ⵏ ⴽⵓⵏⴳⵓ"
DO,"ⵜⴰⴳⴷⵓⴷⴰⵏⵜ ⵜⴰⴷⵓⵎⵉⵏⵉⴽⵜ"
CF,"ⵜⴰⴳⴷⵓⴷⴰⵏⵜ ⵜⴰⵏⴰⵎⵎⴰⵙⵜ ⵏ ⵉⴼⵔⵉⵇⵢⴰ"
CZ,"ⵜⴰⴳⴷⵓⴷⴰⵏⵜ ⵜⴰⵜⵛⵉⴽⵉⵜ"
GB,"ⵜⴰⴳⵍⴷⵉⵜ ⵉⵎⵓⵏⵏ"
TJ,ⵜⴰⴷⵊⴰⴽⵉⵙⵜⴰⵏ
IO,"ⵜⴰⵎⵏⴰⴹⵜ ⵜⴰⵏⴳⵍⵉⵣⵉⵜ ⵏ ⵓⴳⴰⵔⵓ ⴰⵀⵉⵏⴷⵉ"
CV,"ⵜⵉⴳⵣⵉⵔⵉⵏ ⵏ ⴽⴰⴱⴱⵉⵔⴷⵉ"
KY,"ⵜⵉⴳⵣⵉⵔⵉⵏ ⵏ ⴽⴰⵢⵎⴰⵏ"
CK,"ⵜⵉⴳⵣⵉⵔⵉⵏ ⵏ ⴽⵓⴽ"
FK,"ⵜⵉⴳⵣⵉⵔⵉⵏ ⵏ ⵎⴰⵍⴰⵡⵉ"
MH,"ⵜⵉⴳⵣⵉⵔⵉⵏ ⵏ ⵎⴰⵔⵛⴰⵍ"
MP,"ⵜⵉⴳⵣⵉⵔⵉⵏ ⵏ ⵎⴰⵔⵢⴰⵏ ⵏ ⵉⵥⵥⵍⵎⴹ"
NF,"ⵜⵉⴳⵣⵉⵔⵉⵏ ⵏ ⵏⵓⵔⴼⵓⵍⴽ"
SB,"ⵜⵉⴳⵣⵉⵔⵉⵏ ⵏ ⵙⴰⵍⵓⵎⴰⵏ"
TC,"ⵜⵉⴳⵣⵉⵔⵉⵏ ⵏ ⵜⵓⵔⴽⵢⴰ ⴷ ⴽⴰⵢⴽ"
VI,"ⵜⵉⴳⵣⵉⵔⵉⵏ ⵜⵉⵎⴳⴰⴷ ⵏ ⵉⵡⵓⵏⴰⴽ ⵎⵓⵏⵏⵉⵏ"
VG,"ⵜⵉⴳⵣⵉⵔⵉⵏ ⵜⵉⵎⴳⴰⴷ ⵏ ⵏⵏⴳⵍⵉⵣ"
TL,"ⵜⵉⵎⵓⵔ ⵏ ⵍⵇⴱⵍⵜ"
TV,ⵜⵓⴼⴰⵍⵓ
TN,ⵜⵓⵏⵙ
TM,ⵜⵓⵔⴽⵎⴰⵏⵙⵜⴰⵏ
TR,ⵜⵓⵔⴽⵢⴰ
TT,"ⵜⵔⵉⵏⵉⴷⴰⴷ ⴷ ⵟⵓⴱⴰⴳⵓ"
TD,ⵜⵛⴰⴷ
TZ,ⵟⴰⵏⵥⴰⵏⵢⴰ
TH,ⵟⴰⵢⵍⴰⵏⴷ
TW,ⵟⴰⵢⵡⴰⵏ
TG,ⵟⵓⴳⵓ
TK,ⵟⵓⴽⵍⴰⵡ
TO,ⵟⵓⵏⴳⴰ
WF,"ⵡⴰⵍⵉⵙ ⴷ ⴼⵓⵜⵓⵏⴰ"
YE,ⵢⴰⵎⴰⵏ
ZM,ⵣⴰⵎⴱⵢⴰ
ZW,ⵣⵉⵎⴱⴰⴱⵡⵉ
